benchmark,solver,score
benchmarks/smt-lib/non-incremental/NRA/keymaera/controllability-lemma-disturbed-node5255.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/controllability-lemma-disturbed-node5255.smt2,vampire-4.4-smtcomp-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/controllability-lemma-disturbed-node5255.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.045602
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node32507.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.0208461
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node32507.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node32507.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node32507.smt2,vampire-4.4-smtcomp-wrapped-sq,0.099852
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node32507.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0559351
benchmarks/smt-lib/non-incremental/NRA/keymaera/binary_driver-2007-10-09-node14896.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.0201149
benchmarks/smt-lib/non-incremental/NRA/keymaera/binary_driver-2007-10-09-node14896.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/binary_driver-2007-10-09-node14896.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/binary_driver-2007-10-09-node14896.smt2,vampire-4.4-smtcomp-wrapped-sq,0.142201
benchmarks/smt-lib/non-incremental/NRA/keymaera/binary_driver-2007-10-09-node14896.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0395491
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node47513.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.0185079
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node47513.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node47513.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
