benchmark,solver,score
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_59.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_59.smt2,Poolector-wrapped-sq,9.66253
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_59.smt2,Q3B-wrapped-sq,11.6982
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_59.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_59.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_12.smt2,Boolector-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_12.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_12.smt2,Poolector-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_12.smt2,Q3B-wrapped-sq,26.4829
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_12.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_12.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_8.smt2,Boolector-wrapped-sq,702.35
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_8.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,106.245
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_8.smt2,Poolector-wrapped-sq,155.857
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_8.smt2,Q3B-wrapped-sq,28.2941
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_8.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_8.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_46.smt2,Boolector-wrapped-sq,38.8595
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_46.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_46.smt2,Poolector-wrapped-sq,4.96696
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_46.smt2,Q3B-wrapped-sq,0.803461
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_46.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_46.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,8.03743
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_15.smt2,Boolector-wrapped-sq,0.423385
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_15.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,1.16418
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_15.smt2,Poolector-wrapped-sq,0.437843
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_15.smt2,Q3B-wrapped-sq,0.0502711
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_15.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,3.92328
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_15.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.17416
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_45.smt2,Boolector-wrapped-sq,4800
