benchmark,solver,score
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc10.smt2,z3-4.8.8,34.007
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc10.smt2,Bitwuzla,0.333118
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc10.smt2,Yices 2.6.2 for SMTCOMP2020,2.60036
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc10.smt2,MathSAT5,8.17067
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc10.smt2,CVC4-sq-final,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc10.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc10.smt2,Bitwuzla,0.759641
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc10.smt2,Yices 2.6.2 for SMTCOMP2020,1.89104
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc10.smt2,MathSAT5,10.2864
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc25.smt2,CVC4-sq-final,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc25.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc25.smt2,Bitwuzla,9.31612
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc25.smt2,Yices 2.6.2 for SMTCOMP2020,507.962
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc25.smt2,MathSAT5,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc20.smt2,CVC4-sq-final,918.286
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc20.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc20.smt2,Bitwuzla,6.47318
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc20.smt2,Yices 2.6.2 for SMTCOMP2020,171.1
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc20.smt2,MathSAT5,493.095
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc15.smt2,CVC4-sq-final,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc15.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc15.smt2,Bitwuzla,4.48429
